pl_name,pl_rade,pl_bmasse
"HD 156279 b",,3086.00000000
"GJ 832 b",,197.04600000
"GJ 1214 b",2.27000000,6.43000000
"HD 24040 b",,1274.44000000
"HD 168443 c",,5464.22100000
"HD 12661 c",,581.60000000
"HD 66428 b",,896.20000000
"HD 114783 b",,328.60000000
"HD 187123 b",,165.26000000
"HD 12661 b",,731.00000000
"HD 168443 b",,2545.81830000
"HD 114783 b",,349.60000000
"GJ 1214 b",2.67800000,6.55000000
"HD 168443 b",,2377.27000000
"HD 68988 b",,604.00000000
"HD 21749 c",1.00084000,
"HD 114783 b",,317.83000000
"HD 168443 c",,5752.50000000
"HD 183263 b",,1172.74000000
"Kepler-37 b",,
"GJ 1214 b",,
"GJ 1214 b",,
"GJ 1214 b",,
"GJ 1214 b",,
"GJ 1214 b",2.84708600,6.26125100
"GJ 1214 b",2.61000000,
"HD 66428 b",,1015.10600000
"K2-138 g",,2.56000000
"GJ 1214 b",,
"HD 12661 b",,691.56900000
"HD 12661 c",,575.88400000
"HD 11506 b",,1338.01000000
"HD 11506 c",,114.41000000
"HD 24040 b",,1303.05000000
"HD 183263 b",,1155.26300000
"HD 183263 c",,2192.93000000
"HD 187123 b",,161.26010000
"HD 187123 c",,577.79100000
"HD 27894 c",,51.48846000
"HD 27894 d",,1721.04945000
"HD 3167 b",1.80000000,
"HD 3167 c",3.00000000,
"HD 3167 b",1.62377492,
"TOI-674 b",,
"GJ 832 b",,203.40000000
"WASP-133 b",14.18483905,
"TOI-4010 b",3.02000000,11.00000000
"Kepler-314 c",2.75000000,
"HD 11506 b",,1760.77820000
"HD 12661 b",,772.32690000
"HD 156279 b",,3140.16040000
"HD 183263 b",,1255.42850000
"HD 66428 b",,839.07120000
"HD 68988 b",,626.12510000
"HD 24040 b",,1226.82380000
"HD 11506 b",,1535.11890000
"HD 27894 b",,205.00000000
"WASP-61 b",,
"HD 3167 c",2.83066164,
"TOI-2384 b",11.48920522,624.85064816
"K2-321 b",1.95000000,
"HD 3167 b",1.55700000,
"HD 3167 c",2.85000000,
"HAT-P-28 b",13.58500000,198.95300000
"HD 3167 b",1.70000000,5.02000000
"HD 72659 b",,905.81095995
"HD 3167 c",3.01000000,9.80000000
"HD 3167 d",,6.90000000
"HD 27894 b",,211.35695000
"HD 11506 c",,129.67464000
"HD 3167 c",2.86000000,
"HD 24040 b",,1296.74640000
"HD 183263 c",,2860.47000000
"HD 187123 c",,572.09400000
"HD 114783 c",,194.19413000
"NN Ser d",,696.04421133
"TOI-1710 b",5.15000000,18.40000000
"Kepler-19 b",2.29600000,
"TOI-2427 b",1.99844000,
"KELT-23 A b",14.68800000,
"K2-132 b",6.86473931,
"Qatar-9 b",13.36740000,
"Kepler-25 b",2.71000000,
"HATS-14 b",,
"TOI-3894 b",15.22179579,270.15414595
"K2-199 b",1.88203097,
"HD 181234 b",,2660.23710000
"HD 221420 b",,3082.95100000
"HD 66428 b",,1018.32732000
"HD 3167 b",1.62600000,5.59000000
"HD 3167 c",,
"NGTS-10 b",13.50684500,687.14846000
"HD 11506 b",,1093.29000000
"HD 11506 c",,117.27868218
"HD 11506 b",,1551.00262616
"HD 11506 d",,2346.52712888
"HD 156279 c",,3098.82696825
"HD 168443 b",,2424.39508860
"HD 66428 b",,1013.87261833
"HD 68988 b",,608.32357100
"HD 183263 b",,1177.23641953
"HD 183263 c",,2529.91411972
"HD 3167 b",1.57400000,5.69000000
"HD 3167 c",2.74000000,8.33000000
"COCONUTS-2 b",12.44196858,2002.31896410
"GJ 1214 b",,
"HD 72659 c",,6165.87109580
"HD 72659 b",,1001.16450000
"HD 72659 b",,906.12878836
"HD 11506 b",,1506.45000000
"GJ 1214 b",,
"HD 183263 c",,1134.61000000
"HD 24040 c",,63.88350981
"HD 68988 c",,4767.42610500
"HD 114783 b",,328.31674443
"HD 12661 b",,725.60225318
"HD 12661 c",,589.57169499
"HD 156279 b",,3019.36986650
"HD 156279 c",,3003.47844615
"HD 168443 b",,2517.20098344
"HD 181234 b",,2892.23850370
"HD 62364 b",,5542.92741808
"HD 62364 c",,7923.46218651
"HD 168443 c",,5500.33841154
"HD 168863 b",,2154.87659946
"HD 16905 b",,2881.11450946
"HD 181234 b",,2980.91262925
"HD 183263 b",,1103.18240070
"HD 183263 c",,2958.98246917
"HD 221420 b",,6467.80808245
"HD 66428 b",,3478.94974302
"HD 3167 b",1.62700000,4.73000000
